alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb_urls,thumbs,type,url,video
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Burger_101_User_Manual_V6.02_EN.pdf?v=1622009798,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Burger_101_User_Manual_V6.02_DE.pdf?v=1622010600,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Burger_101_User_Manual_V6.02_FR.pdf?v=1622010784,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Burger_101_User_Manual_V6.02_ES.pdf?v=1622010769,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Burger_101_User_Manual_V6.02_IT.pdf?v=1622010799,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Burger_101_User_Manual_V6.02_JP.pdf?v=1622010815",,Burger  101,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100P_User_Manual_V1.01_EN.pdf?v=1622011267,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100P_User_Manual_V1.01_DE.pdf?v=1622011279,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100P_User_Manual_V1.01_FR.pdf?v=1622011292",,Cinemango 100P,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango100W_User_Manual_V1.02_EN.pdf?v=1622011393,,Cinemango 100W,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100_User_Manual_V2.02_EN.pdf?v=1622011444,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100_User_Manual_V2.02_DE.pdf?v=1622011457,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100_User_Manual_V2.02_FR.pdf?v=1622011471,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100_User_Manual_V2.02_ES.pdf?v=1622011483,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100_User_Manual_V2.02_IT.pdf?v=1622011496,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Cinemango_100_User_Manual_V2.02_JP.pdf?v=1622011511",,Cinemango 100,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/GO200_User_Manual_V3.03__EN.pdf?v=1622011616,,GO 200,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/GO200_User_Manual_V1.03_JP.pdf?v=1622011641,,GO 200,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/GO300_User_Manual_V5.02__EN.pdf?v=1622011846,,GO 300,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/GO300_User_Manual_V1.01_JP.pdf?v=1622011869,,GO 300,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_480P_User_Manual_V3.01_EN.pdf?v=1622012865,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_480P_User_Manual_V3.01_DE.pdf?v=1622012875,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_480P_User_Manual_V3.01_FR.pdf?v=1622012918,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_480P_User_Manual_V3.01_ES.pdf?v=1622012929,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_480P_User_Manual_V3.01_IT.pdf?v=1622012953,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_480P_User_Manual_V3.01_JP.pdf?v=1622012964",,Leisure 410 ,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_720P_User_Manual_V4.01_EN.pdf?v=1622013051,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_720P_User_Manual_V4.01_DE.pdf?v=1622013065,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_720P_User_Manual_V4.01_FR.pdf?v=1622013077,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_720P_User_Manual_V4.01_ES.pdf?v=1622013089,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_720P_User_Manual_V4.01_IT.pdf?v=1622013103,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410_720P_User_Manual_V4.01_JP.pdf?v=1622013116",,Leisure 410 ,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410W_User_Manual_V1.05_EN.pdf?v=1622013266,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410W_User_Manual_V1.05_FR.pdf?v=1622013296,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_410W_User_Manual_V1.05_ES.pdf?v=1622013283",,Leisure 410W,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_User_Manual_V5.01_EN.pdf?v=1622013383,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_User_Manual_V5.01_DE.pdf?v=1622013397,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_User_Manual_V5.01_FR.pdf?v=1622013614,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_User_Manual_V5.01_ES.pdf?v=1622013811,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_User_Manual_V5.01_IT.pdf?v=1622013433,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_User_Manual_V5.01_JP.pdf?v=1622013445",,Leisure 430,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_720P_User_Manual__V1.02_EN.pdf?v=1622013877,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_720P_User_Manual__V1.02_DE.pdf?v=1622013890,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_720P_User_Manual__V1.02_FR.pdf?v=1622013899,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_720P_User_Manual__V1.02_ES.pdf?v=1622013912,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_720P_User_Manual__V1.02_IT.pdf?v=1622013939,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430_720P_User_Manual__V1.02_JP.pdf?v=1622013990",,Leisure 430,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_D30T_Plus_Bundle_Edition_User_Manual_V1.01_EN.pdf?v=1622693948,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_D30T_Plus_Bundle_Edition_User_Manual_V1.01_DE.pdf?v=1622693934,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_D30T_Plus_Bundle_Edition_User_Manual_V1.01_FR.pdf?v=1622693978,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_D30T_Plus_Bundle_Edition_User_Manual_V1.01_ES.pdf?v=1622693959,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_D30T_Plus_Bundle_Edition_User_Manual_V1.01_IT.pdf?v=1622693994,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_D30T_Plus_Bundle_Edition_User_Manual_V1.01_JP.pdf?v=1622694005",,Leisure D30T Plus Bundle Edition,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.01_EN.pdf?v=1622014140,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.01_DE.pdf?v=1622014149,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.01_FR.pdf?v=1622014157,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.01_ES.pdf?v=1622014164,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.01_IT.pdf?v=1622014170,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.01_JP.pdf?v=1622014182",,Leisure 430W,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_430W_User_Manual_V1.02_KR.pdf?v=1622014189,,Leisure 430W,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_460_User_Manual_V6.02_EN.pdf?v=1622014305,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_460_User_Manual_V6.02_DE.pdf?v=1622014339,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_460_User_Manual_V6.02_FR.pdf?v=1622014356,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_460_User_Manual_V6.02_ES.pdf?v=1622014372,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_460_User_Manual_V6.02_IT.pdf?v=1622014380,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_460_User_Manual_V6.02_JP.pdf?v=1622014393",,Leisure 460,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V6.04_EN.pdf?v=1622014474,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V6.04_DE.pdf?v=1622014482,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V6.04_FR.pdf?v=1622014491,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V6.04_ES.pdf?v=1622014497,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V6.04_IT.pdf?v=1622014508,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V6.04_JP.pdf?v=1622014519",,Leisure 470,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470_User_Manual_V1.02_KR.pdf?v=1622014526,,Leisure 470,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470C_User_Manual_V6.01_EN.pdf?v=1622014669,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470C_User_Manual_V6.01_DE.pdf?v=1622014674,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470C_User_Manual_V6.01_FR.pdf?v=1622014683,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470C_User_Manual_V6.01_ES.pdf?v=1622014689,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470C_User_Manual_V6.01_IT.pdf?v=1622014696,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_470C_User_Manual_V6.01_JP.pdf?v=1622014700",,Leisure 470C,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510_User_Manual_V4.02_EN.pdf?v=1622014778,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510_User_Manual_V4.02_DE.pdf?v=1622014794,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510_User_Manual_V4.02_FR.pdf?v=1622014816,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510_User_Manual_V4.02_ES.pdf?v=1622015003,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510_User_Manual_V4.02_IT.pdf?v=1622015012,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510_User_Manual_V4.02_JP.pdf?v=1622015023",,Leisure 510,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,"https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510PW_User_Manual_V2.02_EN.pdf?v=1622015109,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510PW_User_Manual_V2.02_IT.pdf?v=1622015119",,Leisure 510PW,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
,Ivankyo,,https://cdn.shopifycdn.net/s/files/1/0268/7015/3313/files/Leisure_510W_User_Manual_V1.01_EN.pdf?v=1622015201,,Leisure 510W,,Projector,en,,,ivankyo.com,,,User Manual,https://ivankyo.com/pages/download#Projector,
